s_type	g_type	u_type	w_type	trial_eta	test_eta	trial_sig	test_sig	state
cmodel	aper5	petro	pro	50.6493506494	64.5569620253	0.234115544967	0.599585	1
petro	aper5	petro	pro	64.1025641026	71.6049382716	0.825058766692	1.32756	1
fiber2	aper5	petro	pro	60.2409638554	51.2195121951	0.315218721322	0.232256243205	1
fiber	aper5	petro	pro	49.3975903614	56.6265060241	0.221494682493	0.288913328838	1
dev	auto	petro	pro	48.0519480519	65.3846153846	0.215123128154	0.500205131131	1
model	auto	petro	pro	50.6493506494	57.6923076923	0.238441840686	0.415533361084	1
cmodel	auto	petro	pro	50.6493506494	64.5569620253	0.234115544967	0.599585	1
petro	auto	petro	pro	64.1025641026	71.6049382716	0.825058766692	1.32756	1
fiber2	auto	petro	pro	60.2409638554	51.2195121951	0.315218721322	0.232256243205	1
fiber	auto	petro	pro	49.3975903614	56.6265060241	0.221494682493	0.288913328838	1
dev	iso	petro	pro	48.0519480519	65.3846153846	0.215123128154	0.500205131131	1
model	iso	petro	pro	50.6493506494	57.6923076923	0.238441840686	0.415533361084	1
cmodel	iso	petro	pro	50.6493506494	64.5569620253	0.234115544967	0.599585	1
petro	iso	petro	pro	64.1025641026	71.6049382716	0.825058766692	1.32756	1
fiber2	iso	petro	pro	60.2409638554	51.2195121951	0.315218721322	0.232256243205	1
fiber	iso	petro	pro	49.3975903614	56.0975609756	0.221494682493	0.276206861691	1
dev	calib	aper	aper	52.0	71.0526315789	0.317003652886	0.552074770802	1
model	calib	aper	aper	53.3333333333	61.8421052632	0.317754176478	0.941577977378	1
cmodel	calib	aper	aper	54.6666666667	68.4210526316	0.3591775	0.65462875	1
petro	calib	aper	aper	66.6666666667	73.417721519	1.34840966172	1.49109170172	1
fiber2	calib	aper	aper	58.024691358	68.75	0.301967386395	0.537009190134	1
fiber	calib	aper	aper	52.4390243902	59.4936708861	0.232360309162	0.676049799407	1
dev	aper1	aper	aper	53.3333333333	75.0	0.346330195418	0.555922950602	1
model	aper1	aper	aper	58.6666666667	61.038961039	0.477029630168	0.983315576218	1
cmodel	aper1	aper	aper	57.3333333333	68.4210526316	0.359455	0.656437986322	1
petro	aper1	aper	aper	73.0769230769	73.75	2.14212495885	1.73653444986	1
fiber2	aper1	aper	aper	65.4320987654	67.0731707317	0.341182841302	0.760989078304	1
fiber	aper1	aper	aper	62.1951219512	65.0	0.292461353696	1.10095915829	1
dev	aper2	aper	aper	53.3333333333	75.0	0.346330195418	0.555922950602	1
model	aper2	aper	aper	58.6666666667	61.038961039	0.477029630168	0.983315576218	1
cmodel	aper2	aper	aper	57.3333333333	68.4210526316	0.359455	0.656437986322	1
petro	aper2	aper	aper	73.0769230769	73.417721519	2.14212495885	1.72029818182	1
fiber2	aper2	aper	aper	65.4320987654	66.6666666667	0.341182841302	0.751704016609	1
fiber	aper2	aper	aper	62.1951219512	65.0	0.292461353696	1.10095915829	1
dev	aper3	aper	aper	53.3333333333	75.0	0.346330195418	0.555922950602	1
model	aper3	aper	aper	58.6666666667	60.5263157895	0.477029630168	0.943850645252	1
cmodel	aper3	aper	aper	57.3333333333	68.4210526316	0.359455	0.656437986322	1
petro	aper3	aper	aper	73.0769230769	73.417721519	2.13171139699	1.68379879725	1
fiber2	aper3	aper	aper	65.4320987654	66.6666666667	0.341182841302	0.751704016609	1
fiber	aper3	aper	aper	62.1951219512	64.5569620253	0.292461353696	1.08473428571	1
dev	aper4	aper	aper	54.6666666667	72.3684210526	0.352741585272	0.553285519639	1
model	aper4	aper	aper	58.6666666667	60.5263157895	0.477029630168	0.943850645252	1
cmodel	aper4	aper	aper	57.3333333333	68.4210526316	0.359455	0.656437986322	1
petro	aper4	aper	aper	73.0769230769	73.417721519	2.13171139699	1.68379879725	1
fiber2	aper4	aper	aper	65.4320987654	66.6666666667	0.341182841302	0.751704016609	1
fiber	aper4	aper	aper	61.7283950617	64.5569620253	0.289945454545	1.08473428571	1
dev	aper5	aper	aper	53.3333333333	75.0	0.346330195418	0.555922950602	1
model	aper5	aper	aper	58.6666666667	60.5263157895	0.477029630168	0.943850645252	1
cmodel	aper5	aper	aper	57.3333333333	68.4210526316	0.359455	0.656437986322	1
petro	aper5	aper	aper	73.0769230769	73.417721519	2.13171139699	1.68379879725	1
fiber2	aper5	aper	aper	65.4320987654	66.6666666667	0.341182841302	0.751704016609	1
fiber	aper5	aper	aper	61.7283950617	65.0	0.289945454545	1.10095915829	1
dev	auto	aper	aper	53.3333333333	75.0	0.346330195418	0.555922950602	1
model	auto	aper	aper	58.6666666667	60.5263157895	0.477029630168	0.943850645252	1
cmodel	auto	aper	aper	57.3333333333	68.4210526316	0.359455	0.656437986322	1
petro	auto	aper	aper	73.0769230769	73.417721519	2.13171139699	1.68379879725	1
fiber2	auto	aper	aper	65.4320987654	66.6666666667	0.341182841302	0.751704016609	1
fiber	auto	aper	aper	61.7283950617	65.0	0.289945454545	1.10095915829	1
dev	iso	aper	aper	54.6666666667	72.0	0.352741585272	0.5447325	1
model	iso	aper	aper	58.6666666667	60.0	0.477029630168	0.904385714286	1
cmodel	iso	aper	aper	58.6666666667	64.0	0.416035789474	0.900685714286	1
petro	iso	aper	aper	73.0769230769	73.417721519	2.13171139699	1.68379879725	1
fiber2	iso	aper	aper	65.4320987654	66.6666666667	0.341182841302	0.751704016609	1
fiber	iso	aper	aper	61.7283950617	64.5569620253	0.289945454545	1.08473428571	1
dev	calib	petro	aper	51.9480519481	64.5569620253	0.225857362219	0.524862917808	1
model	calib	petro	aper	49.3506493506	58.2278481013	0.204912727273	0.55310022646	1
cmodel	calib	petro	aper	50.6493506494	64.5569620253	0.276421331742	0.5967175	1
petro	calib	petro	aper	62.8205128205	71.6049382716	0.734129172139	1.2632797857	1
fiber2	calib	petro	aper	55.421686747	53.0120481928	0.261060316415	0.22607	1
fiber	calib	petro	aper	45.7831325301	53.6585365854	0.179480464977	0.27228327491	1
dev	aper1	petro	aper	48.0519480519	65.8227848101	0.21521479248	0.5086953547	1
model	aper1	petro	aper	54.5454545455	58.2278481013	0.269898181818	0.514799099146	1
cmodel	aper1	petro	aper	50.6493506494	63.2911392405	0.236365561511	0.580477142857	1
petro	aper1	petro	aper	68.3544303797	74.0740740741	0.874526089543	1.41118	1
fiber2	aper1	petro	aper	57.8313253012	49.3975903614	0.288898199362	0.220335	1
fiber	aper1	petro	aper	49.3975903614	57.8313253012	0.212691829038	0.3009025	1
dev	aper2	petro	aper	48.0519480519	65.8227848101	0.21521479248	0.5086953547	1
model	aper2	petro	aper	54.5454545455	58.2278481013	0.269898181818	0.514799099146	1
cmodel	aper2	petro	aper	50.6493506494	63.2911392405	0.236365561511	0.580477142857	1
petro	aper2	petro	aper	67.9487179487	74.0740740741	0.864901844689	1.41118	1
fiber2	aper2	petro	aper	57.8313253012	49.3975903614	0.288898199362	0.220335	1
fiber	aper2	petro	aper	49.3975903614	57.8313253012	0.212691829038	0.3009025	1
dev	aper3	petro	aper	48.0519480519	65.3846153846	0.21521479248	0.49964767735	1
model	aper3	petro	aper	54.5454545455	60.7594936709	0.252512739064	0.730043636364	1
cmodel	aper3	petro	aper	50.6493506494	63.2911392405	0.236365561511	0.580477142857	1
petro	aper3	petro	aper	67.9487179487	74.0740740741	0.864901844689	1.41118	1
fiber2	aper3	petro	aper	57.8313253012	50.0	0.288898199362	0.222774283738	1
fiber	aper3	petro	aper	49.3975903614	57.3170731707	0.212691829038	0.294436663511	1
dev	aper4	petro	aper	48.0519480519	65.3846153846	0.21521479248	0.49964767735	1
model	aper4	petro	aper	54.5454545455	60.7594936709	0.252512739064	0.730043636364	1
cmodel	aper4	petro	aper	50.6493506494	63.2911392405	0.236365561511	0.580477142857	1
petro	aper4	petro	aper	67.9487179487	74.0740740741	0.864901844689	1.41118	1
fiber2	aper4	petro	aper	57.8313253012	50.0	0.288898199362	0.222774283738	1
fiber	aper4	petro	aper	49.3975903614	57.3170731707	0.212691829038	0.294436663511	1
dev	aper5	petro	aper	48.0519480519	65.3846153846	0.21521479248	0.49964767735	1
model	aper5	petro	aper	54.5454545455	60.7594936709	0.252512739064	0.730043636364	1
cmodel	aper5	petro	aper	50.6493506494	63.2911392405	0.236365561511	0.580477142857	1
petro	aper5	petro	aper	67.9487179487	74.0740740741	0.864901844689	1.41118	1
fiber2	aper5	petro	aper	57.8313253012	50.0	0.288898199362	0.222774283738	1
fiber	aper5	petro	aper	49.3975903614	57.8313253012	0.212691829038	0.3009025	1
dev	auto	petro	aper	48.0519480519	65.3846153846	0.21521479248	0.49964767735	1
model	auto	petro	aper	54.5454545455	60.7594936709	0.252512739064	0.730043636364	1
cmodel	auto	petro	aper	50.6493506494	63.2911392405	0.236365561511	0.580477142857	1
petro	auto	petro	aper	67.9487179487	74.0740740741	0.864901844689	1.41118	1
fiber2	auto	petro	aper	57.8313253012	50.0	0.288898199362	0.222774283738	1
fiber	auto	petro	aper	49.3975903614	57.8313253012	0.212691829038	0.3009025	1
dev	iso	petro	aper	48.0519480519	65.3846153846	0.21521479248	0.49964767735	1
model	iso	petro	aper	54.5454545455	60.7594936709	0.252512739064	0.730043636364	1
cmodel	iso	petro	aper	50.6493506494	63.2911392405	0.236365561511	0.580477142857	1
petro	iso	petro	aper	67.9487179487	74.0740740741	0.864901844689	1.41118	1
fiber2	iso	petro	aper	57.8313253012	50.0	0.288898199362	0.222774283738	1
fiber	iso	petro	aper	49.3975903614	57.3170731707	0.212691829038	0.294436663511	1
dev	calib	aper	aper1	53.3333333333	68.4210526316	0.306996671665	0.545906164832	1
model	calib	aper	aper1	53.3333333333	61.8421052632	0.270007817598	0.823567142857	1
cmodel	calib	aper	aper1	53.3333333333	64.4736842105	0.312750685867	0.544181245652	1
petro	calib	aper	aper1	65.3846153846	74.6835443038	0.868516695771	1.41593714286	1
fiber2	calib	aper	aper1	58.024691358	65.0	0.285603037149	0.501886729164	1
fiber	calib	aper	aper1	48.7804878049	60.7594936709	0.192391618742	0.542026222417	1
dev	aper1	aper	aper1	54.6666666667	69.7368421053	0.307669989818	0.542272582701	1
model	aper1	aper	aper1	60.0	61.038961039	0.37919792063	0.923731428571	1
cmodel	aper1	aper	aper1	57.3333333333	68.4210526316	0.315002256642	0.56873556964	1
petro	aper1	aper	aper1	69.2307692308	75.0	1.33990669218	1.67080746144	1
fiber2	aper1	aper	aper1	64.1975308642	67.0731707317	0.343439034204	0.743783351949	1
fiber	aper1	aper	aper1	56.0975609756	65.0	0.291578305014	1.12620428571	1
dev	aper2	aper	aper1	54.6666666667	69.7368421053	0.307669989818	0.542272582701	1
model	aper2	aper	aper1	60.0	61.038961039	0.37919792063	0.923731428571	1
cmodel	aper2	aper	aper1	57.3333333333	68.4210526316	0.315002256642	0.56873556964	1
petro	aper2	aper	aper1	69.2307692308	74.6835443038	1.33990669218	1.65716258321	1
fiber2	aper2	aper	aper1	64.1975308642	66.6666666667	0.343439034204	0.741200232408	1
fiber	aper2	aper	aper1	56.0975609756	65.0	0.291578305014	1.12620428571	1
dev	aper3	aper	aper1	54.6666666667	69.7368421053	0.307669989818	0.542272582701	1
model	aper3	aper	aper1	60.0	60.5263157895	0.37919792063	0.831764805195	1
cmodel	aper3	aper	aper1	57.3333333333	68.4210526316	0.315002256642	0.56873556964	1
petro	aper3	aper	aper1	69.2307692308	74.6835443038	1.33990669218	1.65716258321	1
fiber2	aper3	aper	aper1	64.1975308642	66.6666666667	0.343439034204	0.741200232408	1
fiber	aper3	aper	aper1	55.5555555556	64.5569620253	0.283187519119	1.10460857143	1
dev	aper4	aper	aper1	54.6666666667	69.7368421053	0.307669989818	0.542272582701	1
model	aper4	aper	aper1	60.0	60.5263157895	0.37919792063	0.831764805195	1
cmodel	aper4	aper	aper1	57.3333333333	68.4210526316	0.315002256642	0.56873556964	1
petro	aper4	aper	aper1	69.2307692308	74.6835443038	1.33990669218	1.65716258321	1
fiber2	aper4	aper	aper1	64.1975308642	66.6666666667	0.343439034204	0.741200232408	1
fiber	aper4	aper	aper1	55.5555555556	64.5569620253	0.283187519119	1.10460857143	1
dev	aper5	aper	aper1	54.6666666667	69.7368421053	0.307669989818	0.542272582701	1
model	aper5	aper	aper1	60.0	60.5263157895	0.37919792063	0.831764805195	1
cmodel	aper5	aper	aper1	57.3333333333	68.4210526316	0.315002256642	0.56873556964	1
petro	aper5	aper	aper1	69.2307692308	74.6835443038	1.33990669218	1.65716258321	1
fiber2	aper5	aper	aper1	64.1975308642	66.6666666667	0.343439034204	0.741200232408	1
fiber	aper5	aper	aper1	55.5555555556	65.0	0.283187519119	1.12620428571	1
dev	auto	aper	aper1	54.6666666667	69.7368421053	0.307669989818	0.542272582701	1
model	auto	aper	aper1	60.0	60.5263157895	0.37919792063	0.831764805195	1
cmodel	auto	aper	aper1	57.3333333333	68.4210526316	0.315002256642	0.56873556964	1
petro	auto	aper	aper1	69.2307692308	74.6835443038	1.33990669218	1.65716258321	1
fiber2	auto	aper	aper1	64.1975308642	66.6666666667	0.343439034204	0.741200232408	1
fiber	auto	aper	aper1	55.5555555556	65.0	0.283187519119	1.12620428571	1
dev	iso	aper	aper1	54.6666666667	70.6666666667	0.307669989818	0.553335	1
model	iso	aper	aper1	60.0	60.0	0.37919792063	0.739798181818	1
cmodel	iso	aper	aper1	57.3333333333	68.4210526316	0.315002256642	0.56873556964	1
petro	iso	aper	aper1	69.2307692308	74.6835443038	1.33990669218	1.65716258321	1
fiber2	iso	aper	aper1	64.1975308642	66.6666666667	0.343439034204	0.741200232408	1
fiber	iso	aper	aper1	55.5555555556	64.5569620253	0.283187519119	1.10460857143	1
dev	calib	petro	aper1	49.3506493506	64.5569620253	0.215499930161	0.54523601934	1
model	calib	petro	aper1	67.3913043478	69.387755102	0.399129747897	0.421557406737	1
cmodel	calib	petro	aper1	50.6493506494	62.0253164557	0.243254246355	0.601805	1
petro	calib	petro	aper1	58.9743589744	70.3703703704	0.63927132175	1.25327873454	1
fiber2	calib	petro	aper1	55.421686747	50.6024096386	0.258759182705	0.226255	1
fiber	calib	petro	aper1	46.1538461538	44.6808510638	0.212235230162	0.182526568763	1
dev	aper1	petro	aper1	48.0519480519	65.8227848101	0.220703692822	0.5209	1
model	aper1	petro	aper1	42.8571428571	56.4102564103	0.184308436046	0.348112191355	1
cmodel	aper1	petro	aper1	50.6493506494	60.7594936709	0.223688616256	0.553424523661	1
petro	aper1	petro	aper1	62.0253164557	72.8395061728	0.70855	1.32999142857	1
fiber2	aper1	petro	aper1	57.8313253012	48.1927710843	0.294862938924	0.220638497609	1
fiber	aper1	petro	aper1	46.9879518072	56.6265060241	0.190047903039	0.288795516111	1
dev	aper2	petro	aper1	48.0519480519	65.8227848101	0.220703692822	0.5209	1
model	aper2	petro	aper1	42.8571428571	56.4102564103	0.184308436046	0.348112191355	1
cmodel	aper2	petro	aper1	50.6493506494	60.7594936709	0.223688616256	0.553424523661	1
petro	aper2	petro	aper1	61.5384615385	72.8395061728	0.695551698879	1.32999142857	1
fiber2	aper2	petro	aper1	57.8313253012	48.1927710843	0.294862938924	0.220638497609	1
fiber	aper2	petro	aper1	46.9879518072	56.6265060241	0.190047903039	0.288795516111	1
dev	aper3	petro	aper1	48.0519480519	65.3846153846	0.220703692822	0.511381202293	1
model	aper3	petro	aper1	42.8571428571	56.4102564103	0.184308436046	0.348112191355	1
cmodel	aper3	petro	aper1	50.6493506494	60.7594936709	0.223688616256	0.553424523661	1
petro	aper3	petro	aper1	61.5384615385	72.8395061728	0.695551698879	1.32999142857	1
fiber2	aper3	petro	aper1	57.8313253012	48.7804878049	0.294862938924	0.220810498805	1
fiber	aper3	petro	aper1	46.9879518072	56.0975609756	0.190047903039	0.27441187827	1
dev	aper4	petro	aper1	48.0519480519	65.3846153846	0.220703692822	0.511381202293	1
model	aper4	petro	aper1	42.8571428571	56.4102564103	0.184308436046	0.348112191355	1
cmodel	aper4	petro	aper1	50.6493506494	60.7594936709	0.223688616256	0.553424523661	1
petro	aper4	petro	aper1	61.5384615385	72.8395061728	0.695551698879	1.32999142857	1
fiber2	aper4	petro	aper1	57.8313253012	48.7804878049	0.294862938924	0.220810498805	1
fiber	aper4	petro	aper1	46.9879518072	56.0975609756	0.190047903039	0.27441187827	1
dev	aper5	petro	aper1	48.0519480519	65.3846153846	0.220703692822	0.511381202293	1
model	aper5	petro	aper1	42.8571428571	56.4102564103	0.184308436046	0.348112191355	1
cmodel	aper5	petro	aper1	50.6493506494	60.7594936709	0.223688616256	0.553424523661	1
petro	aper5	petro	aper1	61.5384615385	72.8395061728	0.695551698879	1.32999142857	1
fiber2	aper5	petro	aper1	57.8313253012	48.7804878049	0.294862938924	0.220810498805	1
fiber	aper5	petro	aper1	46.9879518072	56.6265060241	0.190047903039	0.288795516111	1
dev	auto	petro	aper1	48.0519480519	65.3846153846	0.220703692822	0.511381202293	1
model	auto	petro	aper1	42.8571428571	56.4102564103	0.184308436046	0.348112191355	1
cmodel	auto	petro	aper1	50.6493506494	60.7594936709	0.223688616256	0.553424523661	1
petro	auto	petro	aper1	61.5384615385	72.8395061728	0.695551698879	1.32999142857	1
fiber2	auto	petro	aper1	57.8313253012	48.7804878049	0.294862938924	0.220810498805	1
fiber	auto	petro	aper1	46.9879518072	56.6265060241	0.190047903039	0.288795516111	1
dev	iso	petro	aper1	48.0519480519	65.3846153846	0.220703692822	0.511381202293	1
model	iso	petro	aper1	42.8571428571	56.4102564103	0.184308436046	0.348112191355	1
cmodel	iso	petro	aper1	50.6493506494	60.7594936709	0.223688616256	0.553424523661	1
petro	iso	petro	aper1	61.5384615385	72.8395061728	0.695551698879	1.32999142857	1
fiber2	iso	petro	aper1	57.8313253012	48.7804878049	0.294862938924	0.220810498805	1
fiber	iso	petro	aper1	46.9879518072	56.0975609756	0.190047903039	0.27441187827	1
dev	calib	aper	aper2	54.6666666667	68.8311688312	0.431458947368	0.548760241605	1
model	calib	aper	aper2	53.3333333333	61.8421052632	0.326107790694	0.797752733936	1
cmodel	calib	aper	aper2	54.6666666667	68.4210526316	0.359085	0.581144464286	1
petro	calib	aper	aper2	66.6666666667	77.2151898734	0.965235402517	1.40452	1
fiber2	calib	aper	aper2	55.5555555556	70.0	0.284093875502	0.474626544635	1
fiber	calib	aper	aper2	50.0	63.2911392405	0.215938824845	0.582247358849	1
dev	aper1	aper	aper2	58.6666666667	72.7272727273	0.459267368421	0.5499125	1
model	aper1	aper	aper2	61.3333333333	62.3376623377	0.529577262406	0.983139511921	1
cmodel	aper1	aper	aper2	58.6666666667	69.7368421053	0.421332631579	0.564631265653	1
petro	aper1	aper	aper2	74.358974359	77.5	0.968395028353	1.73696521901	1
fiber2	aper1	aper	aper2	64.1975308642	67.0731707317	0.343743937524	0.718398589068	1
fiber	aper1	aper	aper2	58.5365853659	65.0	0.310273585363	1.09578671893	1
dev	aper2	aper	aper2	58.6666666667	72.7272727273	0.459267368421	0.5499125	1
model	aper2	aper	aper2	61.3333333333	62.3376623377	0.529577262406	0.983139511921	1
cmodel	aper2	aper	aper2	58.6666666667	69.7368421053	0.421332631579	0.564631265653	1
petro	aper2	aper	aper2	74.358974359	77.2151898734	0.968395028353	1.6633522562	1
fiber2	aper2	aper	aper2	64.1975308642	66.6666666667	0.343743937524	0.700520001292	1
fiber	aper2	aper	aper2	58.5365853659	65.0	0.310273585363	1.09578671893	1
dev	aper3	aper	aper2	58.6666666667	72.7272727273	0.459267368421	0.5499125	1
model	aper3	aper	aper2	61.3333333333	61.8421052632	0.529577262406	0.944714041675	1
cmodel	aper3	aper	aper2	58.6666666667	69.7368421053	0.421332631579	0.564631265653	1
petro	aper3	aper	aper2	74.358974359	77.2151898734	0.968395028353	1.6633522562	1
fiber2	aper3	aper	aper2	64.1975308642	66.6666666667	0.343743937524	0.700520001292	1
fiber	aper3	aper	aper2	58.5365853659	65.0	0.310273585363	1.09578671893	1
dev	aper4	aper	aper2	58.6666666667	72.7272727273	0.459267368421	0.5499125	1
model	aper4	aper	aper2	61.3333333333	61.8421052632	0.529577262406	0.944714041675	1
cmodel	aper4	aper	aper2	58.6666666667	69.7368421053	0.421332631579	0.564631265653	1
petro	aper4	aper	aper2	74.358974359	77.2151898734	0.968395028353	1.6633522562	1
fiber2	aper4	aper	aper2	64.1975308642	66.6666666667	0.343743937524	0.700520001292	1
fiber	aper4	aper	aper2	58.024691358	65.0	0.295594670727	1.09578671893	1
dev	aper5	aper	aper2	58.6666666667	72.7272727273	0.459267368421	0.5499125	1
model	aper5	aper	aper2	61.3333333333	61.8421052632	0.529577262406	0.944714041675	1
cmodel	aper5	aper	aper2	58.6666666667	69.7368421053	0.421332631579	0.564631265653	1
petro	aper5	aper	aper2	74.358974359	77.2151898734	0.968395028353	1.6633522562	1
fiber2	aper5	aper	aper2	64.1975308642	66.6666666667	0.343743937524	0.700520001292	1
