sdss_dr7objid,sdss_dr8objid,RA,DEC,z,z_phot,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,probPSF,sdss_u_mag,sdss_u_err,sdss_g_mag,sdss_g_err,sdss_r_mag,sdss_r_err,sdss_i_mag,sdss_i_err,sdss_z_mag,sdss_z_err
588017626683408582,1237661872931602643,157.5047,41.79076,0.1630165,0.168468,5.235571,4.439944,4.222228,4.181091,4.377335,5.33107,4.971789,4.473512,4.378552,3.63378,0,21.23728,0.08944619,19.90342,0.02006979,18.95337,0.0184588,18.51463,0.01736141,18.27473,0.02536041
588017570848964802,1237661817097158921,192.6478,12.42888,0.1558769,0.152663,7.145673,6.59014,6.244878,6.023355,5.964993,7.035215,6.259486,6.154927,6.068618,5.800484,0,21.41729,0.1202251,19.83126,0.01341413,18.79597,0.009006418,18.31673,0.008282514,18.02464,0.02357208
588017570854076507,1237661817102270619,204.4749,11.92044,0.1584005,0.158399,18.02147,5.009215,4.811348,4.611011,4.571081,8.313768,4.895874,6.088352,5.94609,5.311954,0,22.22331,0.2449035,20.27181,0.02164784,19.03093,0.008970145,18.46637,0.009890095,18.05433,0.02533326
588017626686488678,1237661872934682808,166.663,43.60582,0.1247324,0.134406,2.544137,3.462298,2.952591,2.954494,3.059788,2.937311,4.03512,3.833747,3.802472,3.771901,0,20.36353,0.06200267,18.8194,0.02767675,17.84685,0.02680118,17.48193,0.0406853,17.23468,0.03891012
588017571388915843,1237661817637109868,199.8201,12.53932,0.2826665,0.289153,2.016936,2.538728,2.828984,3.476753,3.637443,4.489435,3.640621,3.949788,4.002338,3.981288,0,20.11601,0.03912372,19.38951,0.01062269,18.64364,0.006349201,18.37052,0.009051145,17.99788,0.01937604
588017571390947466,1237661817639141504,204.5282,12.36087,0.09632137,0.112703,6.169871,7.84009,8.027293,7.436523,6.842631,11.80782,9.870006,10.30038,10.1489,10.00324,0,20.05174,0.03370368,18.56984,0.006012826,17.76747,0.004753381,17.29536,0.004703436,17.02324,0.008355844
588017571923230831,1237661818171424880,193.8556,13.20287,0.1338691,0.127107,5.564282,5.731126,5.05661,4.79326,4.651751,4.956119,5.817817,5.781035,5.292446,4.917274,0,20.68246,0.06677309,19.62429,0.01360371,18.98268,0.01131034,18.59674,0.0135739,18.44946,0.02528584
588017571925000341,1237661818173194414,198.0404,13.08103,0.06038388,0.069025,5.846042,5.840948,5.805091,5.571611,5.507747,6.052747,6.631942,6.512018,6.506017,6.272284,0,20.60411,0.0622639,18.7727,0.00701691,17.92982,0.004569716,17.49183,0.005008305,17.17374,0.01108523
588017603601105010,1237661849849299053,155.9998,40.27713,0.1376599,0.10029,6.687287,6.291102,5.62443,5.307434,4.884339,6.460557,7.550913,7.308805,7.075882,7.35387,0,20.45054,0.04552457,18.70157,0.007074357,17.73902,0.003952739,17.30653,0.004352592,17.01177,0.009605879
588017603601236081,1237661849849430137,156.3195,40.31535,0.06734845,0.089345,4.845428,4.224842,3.820099,3.451842,3.038824,4.922475,4.78886,4.599486,4.627528,4.565356,0,20.12476,0.0360754,18.47546,0.005376494,17.62762,0.004266674,17.10107,0.003162922,16.77459,0.008143642
