# sdss_dr8objid,distanceMins,ukidss_objid,eBV,ukidss_y_mag,ukidss_y_err,ukidss_j_mag,ukidss_j_err,ukidss_h_mag,ukidss_h_err,ukidss_k_mag,ukidss_k_err
#
# Results of Query: Database UKIDSSDR9PLUS 09/07/14 20:06
# SELECT my.sdss_dr8objid  sdss_dr8objid, x.distanceMins    
# distanceMins, u.sourceID        ukidss_objid, u.ebv             eBV,  
#  u.yAperMag4       ukidss_y_mag, u.yAperMag4Err    ukidss_y_err,   
# u.j_1AperMag4     ukidss_j_mag, u.j_1AperMag4Err  ukidss_j_err,   
# u.hAperMag4       ukidss_h_mag, u.hAperMag4Err    ukidss_h_err,   
# u.kAperMag4       ukidss_k_mag,    u.kAperMag4Err    ukidss_k_err   
# FROM  lasSourceXDR8PhotoObj x,  lasSource u,  #userTable my   WHERE 
# x.slaveObjID=my.sdss_dr8objID and x.masterObjID=u.sourceID and 
# x.sdssPrimary=1 and x.distanceMins < .01 and u.pNoise < .05   and 
# x.distanceMins IN ( SELECT MIN(distanceMins) FROM 
# lasSourceXDR8PhotoObj WHERE masterObjID=x.masterObjID AND 
# sdssPrimary=1) order by my.sdss_dr8objid,u.sourceid
# Column Headers at start of file AND below
#
# sdss_dr8objid,distanceMins,ukidss_objid,eBV,ukidss_y_mag,ukidss_y_err,ukidss_j_mag,ukidss_j_err,ukidss_h_mag,ukidss_h_err,ukidss_k_mag,ukidss_k_err
 1237648703510413381,     +0.003422,        433867262470,     +0.026998,    +17.120090,     +0.016266,    +16.574500,     +0.017926,    +15.904266,     +0.017885,    +15.448683,     +0.019298
 1237648703510413396,     +0.005115,        433868355534,     +0.028028,    +16.756872,     +0.012245,    +16.209770,     +0.012660,    +15.452086,     +0.012370,    +14.979080,     +0.013003
 1237648703510872234,     +0.001580,        433868372875,     +0.029340,    +16.035294,     +0.007531,    +15.439431,     +0.007146,    +14.708940,     +0.007174,    +14.222753,     +0.006932
 1237648703510872234,     +0.001580,        433868372875,     +0.029340,    +16.035294,     +0.007531,    +15.439431,     +0.007146,    +14.708940,     +0.007174,    +14.222753,     +0.006932
 1237648703511724252,     +0.004357,        433868396033,     +0.030131,    +17.008696,     +0.014725,    +16.390015,     +0.015018,    +15.737161,     +0.015230,    +15.080794,     +0.014935
 1237648703511724252,     +0.004357,        433868396033,     +0.030131,    +17.008696,     +0.014725,    +16.390015,     +0.015018,    +15.737161,     +0.015230,    +15.080794,     +0.014935
 1237648703511724270,     +0.006451,        433868395973,     +0.030023,    +16.262047,     +0.008495,    +15.642888,     +0.008092,    +14.935690,     +0.007735,    +14.363590,     +0.008207
 1237648703511789676,     +0.004559,        433868395893,     +0.029633,    +17.557608,     +0.022627,    +17.056583,     +0.026529,    +16.398525,     +0.026961,    +16.112698,     +0.036513
 1237648703513952486,     +0.000846,        433868275664,     +0.034450,    +16.883062,     +0.012257,    +16.334606,     +0.015414,    +15.643495,     +0.009288,    +15.185510,     +0.012419
 1237648703513952486,     +0.000846,        433868275664,     +0.034450,    +16.883062,     +0.012257,    +16.334606,     +0.015414,    +15.643495,     +0.009288,    +15.185510,     +0.012419
